bus
6
stop
1a
5	56
6	121723303641465259
7	0410151924303439455054
8	0005101622283339465258
9	051115222935425058
10	071625334251
11	0110162533404755
12	01081522293439465259
13	0613202734414855
14	020814202733394653
15	010916233037455158
16	04101622273239455259
17	041116222936435158
18	041119253238455259
19	06132129374656
20	07183248
21	00123252
22	123252
23	1130
stop
2a
5	57
6	1318243137424753
7	000511162025313540465155
8	0106111723293440475359
9	061216233036435159
10	081726344352
11	0211172634414856
12	020916233035404753
13	000714212835424956
14	030915212834404754
15	021017243138465259
16	051117232833404653
17	00051217233037445259
18	0512202633394653
19	0007142230384757
20	08193349
21	01133353
22	133353
23	1231
stop
3a
5	58
6	1419253238434854
7	010612172126323641475256
8	02071218243035414854
9	000713172431374452
10	00091827354453
11	0312182735424957
12	031017243136414854
13	010815222936435057
14	041016222935414855
15	0311182532394753
16	00061218242934414754
17	010613182431384553
18	000613212734404754
19	0108152331394858
20	09203450
21	02143454
22	143454
23	1332
stop
4a
5	59
6	1520263339444955
7	020713182227333742485357
8	03081319253136424955
9	010814182532384553
10	01101928364554
11	0413192836435058
12	041118253237424955
13	020916233037445158
14	051117233036424956
15	0412192633404854
16	01071319253035424855
17	020714192532394654
18	010714222835414855
19	0209162432404959
20	10213551
21	03153555
22	153555
23	1433
stop
5a
6	021823293642475258
7	0510162125303640455156
8	0006111622283439455258
9	041117212835414856
10	04132231394857
11	07162231394653
12	01071421283540455258
13	0512192633404754
14	01081420263339455259
15	0715222936435157
16	04101622283338455158
17	051017222835424957
18	041017253138445158
19	05121927354352
20	0213243854
21	06183858
22	183858
23	1736
stop
6a
6	0420253138444954
7	0009142025293440444955
8	0004101520263238434956
9	02071420243138445159
10	071625344251
11	0010192534424956
12	041017243138434855
13	010815222936435057
14	041117232936424855
15	0210182532394654
16	00071319253137424955
17	020914212632394653
18	010814212935424855
19	0207142129374554
20	0415264056
21	082040
22	002040
23	001938
stop
38a
5	43
6	08242935424854
7	0006152029333843495358
8	0409131924293540465157
9	04101522283239465259
10	07152433425059
11	08182733425057
12	041218253239465156
13	030916233037445158
14	051219253137445056
15	0310182633404754
16	02081521273340465158
17	041219243136424956
18	031118243138435056
19	030813202735425059
20	08193044
21	00122444
22	042444
23	042342
stop
39a
5	46
6	11273238455157
7	03091823323641465256
8	0107121622273238434954
9	00071318253135424955
10	02101827364553
11	02112130364553
12	00071521283542495459
13	0612192633404754
14	01081522283440475359
15	0613212936435057
16	051118243036434954
