days
12345
bus
8a-b
stop
71a
6	123455
7	0719334359
8	13233957
9	163248
10	02193953
11	132645
12	00183851
13	092544
14	04173750
15	0719334357
16	08213748
17	0115304259
18	092442
19	03213553
20	2447
21	1143
22	0228
23	15
stop
5a
6	153758
7	10223646
8	02162642
9	00193551
10	05224256
11	162948
12	03214154
13	122847
14	07204053
15	10223646
16	0011244051
17	04183345
18	02122745
19	06243856
20	2750
21	1446
22	0531
23	18
stop
6a
6	1739
7	0113264050
8	06203044
9	02213753
10	07244458
11	183150
12	05234356
13	143049
14	09224255
15	12243848
16	0314274354
17	07213749
18	05153048
19	09274159
20	3052
21	1648
22	0733
23	20
stop
7a
6	1941
7	0316294353
8	09233347
9	05244056
10	102747
11	01213453
12	08264659
13	173352
14	12254558
15	15274151
16	0617304657
17	10244052
18	08183351
19	123044
20	023254
21	1850
22	0935
23	22
stop
8a
6	2143
7	0518314555
8	11253549
9	07264258
10	122949
11	03233655
12	102848
13	01193554
14	142747
15	0017294353
16	0819324859
17	12264254
18	10203553
19	143246
20	043456
21	2052
22	1137
23	24
stop
9a
6	2244
7	0619324656
8	12263650
9	08274359
10	133050
11	04243756
12	112949
13	02203655
14	152848
15	0118304454
16	09203349
17	0013274355
18	11213654
19	153347
20	053557
21	2153
22	1238
23	25
stop
10a
5	51
6	10243446
7	0009253953
8	0319334357
9	133248
10	04183555
11	092942
12	01163454
13	072541
14	00203353
15	0623354959
16	15263955
17	07203450
18	0216264159
19	183650
20	083759
21	2355
22	1440
23	27
stop
11a
5	53
6	12263648
7	0211274155
8	0521354559
9	153450
10	06203757
11	113144
12	03183656
13	092743
14	02223555
15	08253751
16	0117284157
17	09223652
18	04182843
19	01203852
20	1039
21	012557
22	1642
23	29
stop
35a
5	55
6	14283850
7	0413294357
8	07233747
9	01173652
10	08223959
11	133346
12	05203858
13	112945
14	04243757
15	10273953
16	0319304359
17	11243854
18	06203045
19	03224054
20	1241
21	032759
22	1844
23	31
stop
72a
5	57
6	16304052
7	0615314559
8	09253949
9	03193854
10	102441
11	01153548
12	072240
13	00133147
14	06263959
15	12294155
16	05213245
17	0113264056
18	08223247
19	05244256
20	1443
21	0529
22	012046
23	33
stop
73a
5	58
6	17314153
7	07163246
8	0010264050
9	04203955
10	112542
11	02163649
12	082341
13	01143248
14	072740
15	0013304256
16	06223346
17	0214274157
18	09233348
19	06254357
20	1544
21	0630
22	022147
23	34
stop
74a
6	0322364658
7	12213751
8	0515314555
9	092544
10	00163047
11	07214154
12	132846
13	06193753
14	123245
15	05183547
16	0111273851
17	07193246
18	0214283853
19	113048
20	022049
21	1135
22	072652
23	39
stop
75a
6	05243848
7	0014233953
8	0717334757
9	112746
10	02183249
11	09234356
12	153048
13	08213955
14	143447
15	07203749
16	0313294053
17	09213448
18	0416304055
19	133250
20	042251
21	1337
22	092854
23	41
stop
76a
6	06253949
7	0115244054
8	0818344858
9	122847
10	03193350
11	10244457
12	163149
13	09224056
14	153548
15	08213850
16	0414304154
17	10223549
18	0517314156
19	143351
20	052352
21	1438
22	102955
23	42
stop
77a
6	07264050
7	0216254155
8	0919354959
9	132948
10	04203451
11	11254558
12	173250
13	10234157
14	163649
15	09223951
16	0515314255
17	11233650
18	0618324257
19	153452
20	062453
21	1539
22	113056
23	43
stop
78a
6	09284252
7	0418274357
8	11213751
9	01153150
10	06223653
11	132747
12	00193452
13	12254359
14	183851
15	11244153
16	0717334457
17	13253852
18	0820344459
19	173654
20	082655
21	1741
22	133258
23	45
stop
79a
6	10294353
7	0519284458
8	12223852
9	02163251
10	07233754
11	142848
12	01203553
13	132644
14	00193952
15	12254254
16	0818344558
17	14263953
18	09213545
19	00183755
20	092756
21	1842
22	143359
23	46
bus
8b-a
stop
79b
6	12314554
7	0721324659
8	12254155
9	06203353
10	082540
11	00143151
12	04223755
13	162848
14	02214254
15	13274659
16	10253951
17	0118284153
18	09233547
19	01184456
20	1129
21	002144
22	1735
23	0148
stop
78b
6	13324655
7	08223347
8	0013264256
9	07213454
10	092641
11	01153252
12	05233856
13	172949
14	03224355
15	142847
16	0011264052
17	0219294254
18	10243648
19	02194557
20	1230
21	012245
22	1836
23	0249
stop
80b
6	14334756
7	09233448
8	0114274357
9	08223555
10	102742
11	02163353
12	06243957
13	183050
14	04234456
15	152948
16	0112274153
17	0320304355
18	11253749
19	03204658
20	1331
21	022346
22	1937
23	0350
stop
77b
6	16354958
7	11253650
8	0316294559
9	10243757
10	122944
11	04183555
12	08264159
13	203252
14	06254658
15	173150
16	0314294355
17	0522324557
18	13273951
19	052248
20	001533
21	042548
22	2139
23	0552
stop
76b
6	17365059
7	12263751
8	04173046
9	0011253858
10	133045
11	05193656
12	092742
13	00213353
14	07264759
15	183251
16	0415304456
17	0623334658
18	14284052
19	062349
20	011634
21	052649
22	2240
23	0653
stop
75b
6	193852
7	0114283953
8	06193248
9	0212263959
10	143146
11	06203757
12	102843
13	01223454
14	082748
15	00203453
16	0617324658
17	08253548
18	0016304254
19	072450
20	021735
21	062750
22	2341
23	0754
stop
74b
6	224155
7	0417314256
8	09223551
9	05152942
10	02173449
11	092340
12	00133146
13	04253757
14	113051
15	03233756
16	09203549
17	0111283851
18	0319334557
19	102753
20	052038
21	093053
22	2644
23	1057
stop
81b
6	254458
7	0720344559
8	12253854
9	08183245
10	05203752
11	122643
12	03163449
13	072840
14	00143354
15	06264059
16	12233852
17	0414314154
18	06223648
19	00133056
20	082341
21	123356
22	2947
23	13
0	00
stop
73b
6	2847
7	0110233748
8	0215284157
9	11213548
10	08234055
11	152946
12	06193752
13	103143
14	03173657
15	092943
16	0215264155
17	0717344457
18	09253951
19	03163359
20	112644
21	153659
22	3250
23	16
0	03
stop
72b
6	3049
7	0312253950
8	0417304359
9	13233750
10	10254257
11	173148
12	08213954
13	123345
14	05193859
15	113145
16	0417284357
17	0919364659
18	11274153
19	051835
20	01132846
21	1738
22	013452
23	17
0	04
stop
36b
6	3251
7	0515284253
8	07203346
9	0215253952
10	12274459
11	193350
12	10234156
13	143547
14	072140
15	01133347
16	0619304559
17	11223949
18	0214294355
19	072037
20	03153048
21	1940
22	033654
23	19
0	06
stop
11b
6	3453
7	0719324657
8	11243750
9	0619294355
10	153047
11	02223653
12	13264459
13	173850
14	102443
15	04163751
16	10233449
17	0315264353
18	0618334658
19	102340
20	06183351
21	2142
22	053856
23	21
0	08
stop
10b
6	3655
7	10223549
8	0014274053
9	0922324658
