days
67
bus
16a-b
stop
1a
6	09314359
7	13253749
8	011326364558
9	12193445
10	04203651
11	07213650
12	0316294355
13	0617283950
14	0113243547
15	0013263952
16	0518314457
17	11223548
18	0114273951
19	0213243650
20	042041
21	032646
22	1238
23	08
stop
2a
6	103244
7	0014263850
8	021427374659
9	13203546
10	05213752
11	08223751
12	0417304456
13	0718294051
14	0214253648
15	0114274053
16	0619324558
17	12233649
18	0215284052
19	0314253751
20	052142
21	042747
22	1339
23	09
stop
3a
6	113345
7	0115273951
8	0315283847
9	0014213647
10	06223853
11	09233852
12	0518314557
13	0819304152
14	0315263749
15	0215284154
16	0720334659
17	13243750
18	0316294153
19	0415263852
20	062243
21	052848
22	1440
23	10
stop
4a
6	123446
7	0216284052
8	0416293948
9	0115223748
10	07233954
11	10243953
12	0619324658
13	0920314253
14	0416273850
15	0316294255
16	08213447
17	0014253851
18	0417304254
19	0516273953
20	072344
21	062949
22	1541
23	11
stop
5a
6	153749
7	0519314355
8	0719324251
9	0418254051
10	10264257
11	13274256
12	09223549
13	011223344556
14	0719304153
15	0619324558
16	11243750
17	0317284154
18	0720334557
19	0819304256
20	102647
21	093252
22	1844
23	14
stop
6a
6	173951
7	0721334557
8	0921344453
9	0620274253
10	12284459
11	15294458
12	11243751
13	031425364758
14	0921324355
15	08213447
16	0013263952
17	0519304356
18	0922354759
19	1021324458
20	122849
21	113454
22	2046
23	16
stop
7a
6	204254
7	10243648
8	001224374756
9	0923304556
10	153147
11	02183247
12	0114274054
13	0617283950
14	011224354658
15	11243750
16	0316294255
17	0822334659
18	12253850
19	0213243547
20	01153152
21	143757
22	2349
23	19
stop
8a
6	224456
7	12263850
8	021426394958
9	1125324758
10	173349
11	04203449
12	0316294256
13	0819304152
14	0314263748
15	0013263952
16	0518314457
17	10243548
18	0114274052
19	0415263749
20	03173354
21	163959
22	2551
23	21
stop
9a
6	244658
7	14284052
8	0416284151
9	0013273449
10	00193551
11	06223651
12	0518314458
13	1021324354
14	0516283950
15	0215284154
16	0720334659
17	12263750
18	0316294254
19	0617283951
20	05193556
21	1841
22	012753
23	23
stop
10a
