days
67
bus
6a-b
stop
1a
6	00193857
7	081930394857
8	06142230384654
9	0210182634425058
10	06142230384654
11	0210182634425058
12	0613202734414855
13	0210172431394755
14	0311192633414855
15	0311192735435159
16	07152331394755
17	0311192735435159
18	0714212835425058
19	06142230384756
20	051525354555
21	08213449
22	092949
23	15
stop
2a
6	01203958
7	092031404958
8	07152331394755
9	0311192735435159
10	07152331394755
11	0311192735435159
12	0714212835424956
13	0311182532404856
14	0412202734424956
15	04122028364452
16	0008162432404856
17	04122028364452
18	000815222936435159
19	07152331394857
20	061626364656
21	09223550
22	103050
23	16
stop
3a
6	02214059
7	102132415059
8	08162432404856
9	04122028364452
10	0008162432404856
11	04122028364452
12	000815222936435057
13	0412192633414957
14	0513212835435057
15	05132129374553
16	0109172533414957
17	05132129374553
18	0109162330374452
19	0008162432404958
20	071727374757
21	10233651
22	113151
23	17
stop
4a
6	032241
7	001122334251
8	0009172533414957
9	05132129374553
10	0109172533414957
11	05132129374553
12	010916233037445158
13	0513202734425058
14	0614222936445158
15	06142230384654
16	0210182634425058
17	06142230384654
18	0210172431384553
19	0109172533415059
20	081828384858
21	11243752
22	123252
23	18
stop
5a
6	052443
7	031425364554
8	03122028364452
9	0008162432404856
10	04122028364452
11	0008162432404856
12	0412192633404754
13	0108162330374553
14	0109172532394754
15	0109172533414957
16	05132129374553
17	0109172533414957
18	0513202734414856
19	04122028364453
20	021121314151
21	0113263954
22	143454
23	20
stop
6a
6	062544
7	041527384756
8	05142230384654
9	0210182634425058
10	06142230384654
11	0210182634425058
12	0614212835424956
13	0310182532394755
14	0311192734414956
15	0311192735435159
16	07152331394755
17	0311192735435159
18	0715222936435058
19	06142230384655
20	041323334353
21	0315284156
22	163656
23	22
stop
38a
6	102948
7	0819314251
8	0009182634425058
9	06142230384654
10	0210182634425058
11	06142230384654
12	0210182532394653
13	000714222936435159
14	07152331384553
15	0007152331394755
16	0311192735435159
17	07152331394755
18	0311192633404754
19	0210182634425059
20	081727374757
21	07193245
22	002040
23	0026
stop
39a
6	133251
7	1122344554
8	03122129374553
9	0109172533414957
10	05132129374553
11	0109172533414957
12	0513212835424956
13	0310172532394654
14	0210182634414856
15	0310182634425058
16	06142230384654
17	0210182634425058
18	0614222936435057
19	05132129374553
20	021120304050
21	0010223548
22	032343
23	0329
stop
40a
6	153453
7	1324364756
8	05142331394755
9	0311192735435159
10	07152331394755
11	0311192735435159
12	0715233037445158
13	0512192734414856
14	0412202836435058
15	05122028364452
16	0008162432404856
17	04122028364452
18	000816243138455259
19	07152331394755
20	041322324252
21	0212243750
22	052545
23	0531
stop
41a
6	173655
7	1526384958
8	07162533414957
9	05132129374553
10	0109172533414957
11	05132129374553
12	0109172532394653
13	000714212936435058
14	06142230384552
15	0007142230384654
16	0210182634425058
17	06142230384654
18	0210182633404754
19	0109172533414957
20	061524344454
21	0414263952
22	072747
23	0733
stop
42a
6	203958
7	18294152
8	01101928364452
9	0008162432404856
10	04122028374553
11	0109172533414957
12	0513212936435057
13	0411182533404754
14	0210182634424956
15	0411182634425058
16	06142230384654
17	0210182634425058
18	0614223037445158
19	05132129374553
20	01101927374757
21	0717294255
22	103050
23	1036
stop
43a
6	2241
7	0020314354
8	03122130384654
9	0210182634425058
10	06142230394755
11	0311192735435159
12	0715233138455259
13	0613202735424956
14	0412202836445158
15	06132028364452
16	0008162432404856
17	04122028364452
18	0008162432394653
19	0007152331394755
20	03122129394959
21	0919314457
22	123252
23	1238
stop
44a
6	2443
7	0222334556
8	05142332404856
9	04122028364452
10	0008162432414957
11	05132129374553
12	0109172533404754
13	010815222937445158
14	06142230384653
15	0008152230384654
16	0210182634425058
17	06142230384654
18	0210182634414855
19	0209172533414957
20	051423314151
21	011121334659
22	143454
23	1440
stop
45a
6	2544
7	0323344657
